2025-02-23 19:50:45, Timestamp, Protocol, Source IP, Destination IP, Length
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 256
2025-02-23 19:50:46, ICMPV6, Unknown, Unknown, 90
2025-02-23 19:50:46, TCP, 13.107.6.254, 192.168.0.116, 54
2025-02-23 19:50:46, TCP, 13.107.6.254, 192.168.0.116, 54
2025-02-23 19:50:46, ICMPV6, Unknown, Unknown, 90
2025-02-23 19:50:46, ICMPV6, Unknown, Unknown, 90
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 5894
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, ICMPV6, Unknown, Unknown, 90
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 495
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 212
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 141
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 396
2025-02-23 19:50:46, TCP, 13.107.6.254, 192.168.0.116, 54
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 396
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 123
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 567
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 92
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.6.254, 136
2025-02-23 19:50:46, TCP, 13.107.6.254, 192.168.0.116, 54
2025-02-23 19:50:46, ICMPV6, Unknown, Unknown, 90
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 231
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 115
2025-02-23 19:50:46, TLS, 13.107.6.254, 192.168.0.116, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.6.254, 54
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 66
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 66
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 564
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 54
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 54
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 4434
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 1514
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 66
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 1514
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 226
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 212
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 141
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 396
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 60
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 396
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 123
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 604
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 604
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 92
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 66
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 13.107.4.254, 136
2025-02-23 19:50:46, TCP, 13.107.4.254, 192.168.0.116, 60
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 254
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TLS, 13.107.4.254, 192.168.0.116, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 13.107.4.254, 54
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 66
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 66
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 204.79.197.222, 560
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 54
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 54
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 2974
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 1514
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 66
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 2974
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 495
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 54
2025-02-23 19:50:46, TLS, 192.168.0.116, 204.79.197.222, 212
2025-02-23 19:50:46, TLS, 192.168.0.116, 204.79.197.222, 141
2025-02-23 19:50:46, TLS, 192.168.0.116, 204.79.197.222, 874
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 54
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 396
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 123
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 92
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 247
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 54
2025-02-23 19:50:46, TLS, 204.79.197.222, 192.168.0.116, 92
2025-02-23 19:50:46, TLS, 192.168.0.116, 204.79.197.222, 92
2025-02-23 19:50:46, TCP, 192.168.0.116, 204.79.197.222, 54
2025-02-23 19:50:46, TCP, 204.79.197.222, 192.168.0.116, 60
2025-02-23 19:50:46, TLS, 128.251.95.9, 192.168.0.116, 456
2025-02-23 19:50:46, TCP, 192.168.0.116, 128.251.95.9, 54
2025-02-23 19:50:46, TCP, 172.253.118.188, 192.168.0.116, 60
2025-02-23 19:50:46, TCP, 192.168.0.116, 172.253.118.188, 54
2025-02-23 19:50:46, DATA, 192.168.0.116, 172.253.118.188, 55
2025-02-23 19:50:46, TCP, 172.253.118.188, 192.168.0.116, 66
2025-02-23 19:50:46, DATA, 192.168.0.116, 74.125.24.188, 55
2025-02-23 19:50:46, TCP, 74.125.24.188, 192.168.0.116, 66
